ID,Title,Author,Year,Format,File
1,Tri Forma Uni Essencia,digiterra,2025,PDF,ebook/Tri Forma Uni Essencia wm.pdf
2,Ikigai,Akihiro Hasegawa,2020,PDF,ebook/Ikigai.pdf
3,You can heal your Life,Louise,2015,PDF,ebook/You can heal your Life.pdf
4,No Longer Human,Dazai Osamu,2023,PDF,ebook/No Longer Human.pdf
5,Thinking,Daniel Kahneman,2017,PDF,ebook/Thinking.pdf
6,How to talk to anyone,Leil Lowndes,2018,PDF,ebook/How to talk to anyone.pdf
7,Atomic Habits,James Clear,2021,PDF,ebook/Atomic Habits.pdf
8,Enoch,Jay Winter,2018,PDF,ebook/Enoch.pdf
9,Rich Dad Poor Dad,Bongo Tweet,2023,PDF,ebook/Rich Dad Poor Dad.pdf
10,The Laws of Human Nature,Robert Greene,2018,PDF,ebook/The Laws of Human Nature.pdf
11,Resume VR,Latizia Mutiara,2025,PDF,ebook/Latizia Mutiara_13040123140129_Kuliah Umum.pdf
